,image,label
0,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_81843360.jpg,neutral
1,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_29519726.jpg,surprise
2,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_82920563.jpg,happy
3,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_20628210.jpg,angry
4,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_66959162.jpg,neutral
5,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_77443862.jpg,fear
6,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_58920903.jpg,happy
7,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_60894434.jpg,angry
8,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_92005103.jpg,sad
9,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_50474020.jpg,neutral
10,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_77688376.jpg,neutral
11,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_18116002.jpg,happy
12,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_32161782.jpg,sad
13,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_82211314.jpg,happy
14,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_11190890.jpg,happy
15,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_82417057.jpg,surprise
16,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_69995155.jpg,fear
17,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_13303216.jpg,sad
18,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_40842938.jpg,fear
19,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_6397136.jpg,happy
20,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_19466360.jpg,neutral
21,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_18699711.jpg,angry
22,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_6291328.jpg,neutral
23,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_66883925.jpg,angry
24,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_36557536.jpg,happy
25,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_85262054.jpg,neutral
26,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_18769667.jpg,angry
27,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_29502851.jpg,angry
28,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_8250415.jpg,happy
29,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_27707513.jpg,sad
30,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_99068457.jpg,fear
31,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_85791364.jpg,neutral
32,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_45938264.jpg,angry
33,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_35616185.jpg,neutral
34,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_98902458.jpg,angry
35,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_57896105.jpg,surprise
36,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_594426.jpg,sad
37,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_7294134.jpg,neutral
38,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_72998295.jpg,neutral
39,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_77491144.jpg,neutral
40,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_90108393.jpg,angry
41,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_2126885.jpg,happy
42,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_85000759.jpg,sad
43,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_31435940.jpg,fear
44,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_35559391.jpg,happy
45,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_73979475.jpg,neutral
46,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_94113647.jpg,sad
47,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_27196085.jpg,happy
48,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_20936849.jpg,neutral
49,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_69445044.jpg,fear
50,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_76673939.jpg,disgust
51,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_4250285.jpg,happy
52,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_10175776.jpg,neutral
53,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_52442111.jpg,neutral
54,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_92846416.jpg,surprise
55,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_76746311.jpg,happy
56,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_99154797.jpg,fear
57,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_32971099.jpg,neutral
58,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_95920096.jpg,sad
59,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_3285029.jpg,sad
60,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_81023841.jpg,happy
61,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_27758788.jpg,neutral
62,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_49331641.jpg,happy
63,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_50114489.jpg,neutral
64,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_37436313.jpg,neutral
65,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_31346618.jpg,sad
66,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_22907846.jpg,surprise
67,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_15588627.jpg,happy
68,E:/kiet files/4 semister/csv files/emotion detection/train/disgust\Training_49735203.jpg,disgust
69,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_87609832.jpg,neutral
70,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_85719562.jpg,happy
71,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_68819420.jpg,angry
72,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_39536730.jpg,surprise
73,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_10899258.jpg,angry
74,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_89835262.jpg,sad
75,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_70508914.jpg,happy
76,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_57426591.jpg,fear
77,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_98069171.jpg,surprise
78,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_34302034.jpg,surprise
79,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_80149417.jpg,happy
80,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_52916330.jpg,neutral
81,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_55777282.jpg,fear
82,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_58109968.jpg,fear
83,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_46447165.jpg,neutral
84,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_34361734.jpg,fear
85,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_42063182.jpg,happy
86,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_97204610.jpg,happy
87,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_63909688.jpg,happy
88,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_17699869.jpg,surprise
89,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_43222890.jpg,surprise
90,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_88399527.jpg,happy
91,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_20545708.jpg,neutral
92,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_30274378.jpg,sad
93,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_6640570.jpg,angry
94,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_94803240.jpg,angry
95,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_4641127.jpg,happy
96,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_12302906.jpg,happy
97,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_30031628.jpg,angry
98,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_64964053.jpg,neutral
99,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_64402389.jpg,sad
100,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_64620568.jpg,angry
101,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_67632832.jpg,sad
102,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_78557361.jpg,neutral
103,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_36093939.jpg,angry
104,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_71451863.jpg,sad
105,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_74891764.jpg,neutral
106,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_14978296.jpg,fear
107,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_94320672.jpg,sad
108,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_95661567.jpg,happy
109,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_91718342.jpg,surprise
110,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_40243547.jpg,surprise
111,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_37376267.jpg,sad
112,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_90856730.jpg,sad
113,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_23384279.jpg,happy
114,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_15544157.jpg,sad
115,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_30663557.jpg,fear
116,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_51488320.jpg,neutral
117,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_74023330.jpg,sad
118,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_73533221.jpg,happy
119,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_78224397.jpg,neutral
120,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_87545489.jpg,neutral
121,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_61773462.jpg,angry
122,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_53132161.jpg,happy
123,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_21066615.jpg,neutral
124,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_58046691.jpg,neutral
125,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_377657.jpg,surprise
126,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_45698346.jpg,sad
127,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_42029316.jpg,happy
128,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_76346159.jpg,angry
129,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_83122685.jpg,happy
130,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_68453760.jpg,neutral
131,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_65419284.jpg,angry
132,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_83071539.jpg,neutral
133,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_58221208.jpg,happy
134,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_79636515.jpg,happy
135,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_87962623.jpg,surprise
136,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_97239000.jpg,angry
137,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_13605605.jpg,angry
138,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_44444861.jpg,sad
139,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_69206174.jpg,sad
140,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_37024304.jpg,neutral
141,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_78097741.jpg,fear
142,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_70975199.jpg,surprise
143,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_33694003.jpg,surprise
144,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_94988365.jpg,angry
145,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_35261572.jpg,angry
146,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_41797525.jpg,neutral
147,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_20497217.jpg,sad
148,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_78119452.jpg,surprise
149,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_23831727.jpg,sad
150,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_4824365.jpg,happy
151,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_80440980.jpg,neutral
152,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_59023561.jpg,neutral
153,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_96512550.jpg,happy
154,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_14014869.jpg,happy
155,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_5665899.jpg,happy
156,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_63470176.jpg,surprise
157,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_43183239.jpg,sad
158,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_34945569.jpg,sad
159,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_98951388.jpg,neutral
160,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_13536574.jpg,surprise
161,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_42490058.jpg,angry
162,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_7517100.jpg,angry
163,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_25471165.jpg,neutral
164,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_71543467.jpg,happy
165,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_57674887.jpg,neutral
166,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_67667183.jpg,angry
167,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_79845296.jpg,surprise
168,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_13852029.jpg,angry
169,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_99764347.jpg,happy
170,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_16848087.jpg,surprise
171,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_30718524.jpg,happy
172,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_43341838.jpg,fear
173,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_73694624.jpg,happy
174,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_84259888.jpg,surprise
175,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_45403275.jpg,fear
176,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_91541310.jpg,neutral
177,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_3036443.jpg,angry
178,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_63616557.jpg,angry
179,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_66993409.jpg,fear
180,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_24331426.jpg,sad
181,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_16639360.jpg,sad
182,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_48758418.jpg,neutral
183,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_90993617.jpg,sad
184,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_63101984.jpg,surprise
185,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_33827931.jpg,fear
186,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_30818158.jpg,happy
187,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_26766810.jpg,happy
188,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_5444239.jpg,neutral
189,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_71212913.jpg,surprise
190,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_90836932.jpg,angry
191,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_24084455.jpg,neutral
192,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_15613012.jpg,fear
193,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_55527587.jpg,surprise
194,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_36229083.jpg,angry
195,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_50796465.jpg,sad
196,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_93622803.jpg,sad
197,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_40747741.jpg,angry
198,E:/kiet files/4 semister/csv files/emotion detection/train/surprise\Training_16471218.jpg,surprise
199,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_9943124.jpg,neutral
200,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_88673713.jpg,fear
201,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_6149495.jpg,sad
202,E:/kiet files/4 semister/csv files/emotion detection/train/sad\Training_82746272.jpg,sad
203,E:/kiet files/4 semister/csv files/emotion detection/train/neutral\Training_25636182.jpg,neutral
204,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_94329120.jpg,fear
205,E:/kiet files/4 semister/csv files/emotion detection/train/fear\Training_32010393.jpg,fear
206,E:/kiet files/4 semister/csv files/emotion detection/train/happy\Training_75330103.jpg,happy
207,E:/kiet files/4 semister/csv files/emotion detection/train/angry\Training_21816646.jpg,angry
